Name,Team,Pos,Projection,Salary,Pts/$1k,FPPM,USG%,Opp,DVP,Spread,Total,O/U,Minutes,PTS,AST,REB,STL,BLK,FT,FGA,FGM,PER,FG%,eFG%
"Mark Williams","PHO",,"25.9","5800",4.5,1.2,"","POR","28",3,110,216.5,22,11.5,0.96,7.61,0.78,"0.88","2.24","7.11","4.62","","71.4","71.4"
"Miles Bridges","CHA",,"33.02","6200",5.3,1,"","MIA","26",6,117,227.5,32,18.28,3.36,6.15,0.79,"0.49","2.89","14.49","6.68","","50.0","57.1"
"Grant Williams","CHA",,"16.29","3600",4.5,0.9,"","MIA","26",6,117,227.5,19,7.07,1.57,3.98,0.5,"0.5","1.23","5.13","2.19","","40.0","60.0"
"LaMelo Ball","CHA",,"49.61","9500",5.2,1.4,"","MIA","25",6,117,227.5,35,26.05,9.28,6.25,1.5,"0.3","2.83","22.57","9.15","","39.1","52.2"
"Coby White","CHA",,"20.57","5100",4,1.1,"","MIA","25",6,117,227.5,18,13.01,3,2.54,0.45,"0.07","2.95","9.34","4.17","","44.4","55.6"
"Josh Green","CHA",,"3.61","3500",1,0.6,"","MIA","23",6,117,227.5,6,1.73,0.33,0.72,0.22,"0.04","0.17","1.26","0.58","","100.0","100.0"
"Kon Knueppel","CHA",,"36.31","6300",5.8,1,"","MIA","23",6,117,227.5,35,21.43,3.96,6.17,0.93,"0.28","2.82","15.53","7.36","","43.8","56.2"
"Sion James","CHA",,"9.29","3600",2.6,0.7,"","MIA","23",6,117,227.5,14,3.48,1.29,2.27,0.43,"0.15","0.66","2.94","1.08","","33.3","33.3"
"Brandon Miller","CHA",,"39.55","7500",5.3,1.2,"","MIA","23",6,117,227.5,34,23.45,3.82,5.84,1.15,"0.79","3.51","18.64","8.12","","42.1","52.6"
"Jalen Green","PHO",,"36.21","7400",4.9,1.1,"","POR","21",3,110,216.5,32,22.88,3.67,4.67,1.23,"0.32","2.62","20.62","8.7","","42.9","47.6"
"Grayson Allen","PHO",,"25.9","5300",4.9,1,"","POR","21",3,110,216.5,25,15,3.39,2.76,1.07,"0.22","2.59","11.9","4.79","","41.7","50.0"
"Rasheer Fleming","PHO",,"2.42","3600",0.7,0.8,"","POR","21",3,110,216.5,3,1.15,0.07,0.59,0.1,"0.1","0.09","1.03","0.42","","0.0","100.0"
"Tyler Herro","MIA",,"39.49","7600",5.2,1.1,"","CHA","16",6,111.5,227.5,35,23.74,4.77,5.54,0.92,"0.42","3.47","18.06","8.66","","50.0","55.6"
"Donovan Clingan","POR",,"40.03","7700",5.2,1.3,"","PHO","16",3,107,216.5,30,13.93,2.43,13.41,0.68,"1.96","2.03","10.28","5.33","","50.0","60.0"
"Jordan Goodwin","PHO",,"22.47","4600",4.9,1,"","POR","16",3,110,216.5,23,9.33,2.31,5.22,1.34,"0.21","0.6","8.46","3.51","","50.0","50.0"
"Collin Gillespie","PHO",,"21.53","5000",4.3,1,"","POR","16",3,110,216.5,22,10.15,3.7,3.28,0.95,"0.14","0.78","8.4","3.52","","50.0","62.5"
"Pelle Larsson","MIA",,"24.5","4700",5.2,0.9,"","CHA","16",6,111.5,227.5,28,12.58,3.75,3.85,0.81,"0.25","2.91","8.78","4.36","","44.4","55.6"
"Robert Williams III","POR",,"24.15","4200",5.8,1.3,"","PHO","16",3,107,216.5,18,7.45,1.13,7.79,0.58,"1.63","0.64","4.69","3.32","","60.0","60.0"
"Andrew Wiggins","MIA",,"31.92","6000",5.3,1,"","CHA","14",6,111.5,227.5,31,16.44,2.87,5.1,1.12,"1.08","1.96","12.91","6.13","","46.2","53.8"
"Devin Booker","PHO",,"47.06","9600",4.9,1.3,"","POR","13",3,110,216.5,37,29.8,7.07,4.61,1.03,"0.31","8.02","21.63","9.81","","45.5","50.0"
"Moussa Diabaté","CHA",,"29.26","5400",5.4,1,"","MIA","12",6,117,227.5,29,9.02,2.3,10.11,0.85,"1.13","1.8","5.74","3.6","","66.7","66.7"
"Ryan Kalkbrenner","CHA",,"17.49","3800",4.6,1,"","MIA","12",6,117,227.5,18,6.55,0.67,4.72,0.42,"1.29","1.09","3.67","2.73","","75.0","75.0"
"Oso Ighodaro","PHO",,"18.21","4400",4.1,0.9,"","POR","11",3,110,216.5,20,6.08,2.16,4.82,0.74,"0.67","0.6","4.18","2.74","","75.0","75.0"
"Dillon Brooks","PHO",,"33.5","6000",5.6,1,"","POR","11",3,110,216.5,34,23.41,2.02,4.22,1.12,"0.17","3.55","19.75","8.63","","45.0","50.0"
"Royce O'Neale","PHO",,"17.92","4300",4.2,0.8,"","POR","11",3,110,216.5,22,7.86,2.17,3.85,0.76,"0.33","0.28","6.42","2.7","","50.0","66.7"
