"player_name","league","stat","stat_short","line","odds_tier","status","start_time","home_team","away_team","duration","player_team","player_position","description","adjusted_odds","flash_line","is_promo","is_live","is_live_scored","in_game","refundable","rank","projection_type","board_time","updated_at","hot","tv_channel","custom_image","event_type","end_time","today","player_team_name","player_market","player_image","player_jersey","player_combo","player_id","projection_id","league_id","game_start","game_end","game_status","game_is_live","home_team_name","home_team_market","home_team_color","away_team_name","away_team_market","away_team_color","projection_type_name","stat_rank"
"Cade Cunningham","NBA","Points","Points","27.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","DET","G","CLE",,"20.5","true","false","true","false","true","1","Single Stat","2026-05-05T13:00:00.000-04:00","2026-05-05T13:00:18.907-04:00","true",,"","team","2026-05-05T19:10:00.000-04:00","true","Pistons","Detroit","https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp","2","false","59107","11890816","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Single Stat","0"
"LeBron James","NBA","Points","Points","20.5","standard","pre_game","2026-05-05T20:40:00.000-04:00","OKC","LAL","Full","LAL","F","OKC","true","14.5","true","false","true","false","true","2","Single Stat","2026-05-05T14:00:00.000-04:00","2026-05-05T14:00:31.086-04:00","true",,"","team","2026-05-05T20:40:00.000-04:00","true","Lakers","Los Angeles","https://static.prizepicks.com/images/players/nba/LeBron_James_0afbe608-940a-4d5d-a1f7-468718c67d91.webp","23","false","188012","11891783","7","2026-05-05T20:30:00.000-04:00",,"scheduled","false","Thunder","Oklahoma City","EF3B24","Lakers","Los Angeles","FDB927","Single Stat","0"
"Cade Cunningham + Donovan Mitchell","NBA","Points (Combo)","Points","53.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","DET/CLE","G","CLE/DET","false",,"false","false","true","false","true","5","Single Stat","2026-05-02T19:10:00.000-04:00","2026-05-05T13:08:20.852-04:00","true",,,"combo",,"true","Pistons/Cavaliers",,"https://static.prizepicks.com/images/players/CMBO_group_P2BfS0hCfWpj5rNOvFHkfUMH.webp","2 + 45","true","316537","11861758","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Single Stat","19"
"Cade Cunningham","NBA","Fantasy Score","Fantasy Score","51.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","DET","G","CLE","false",,"false","false","true","false","true","6","Fantasy Score","2026-05-04T08:15:00.000-04:00","2026-05-05T08:32:10.700-04:00","true",,,"team",,"true","Pistons","Detroit","https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp","2","false","59107","11872847","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Fantasy Score","6"
"Cade Cunningham","NBA","Pts+Rebs+Asts","PRA","42.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","DET","G","CLE",,,"false","false","true","false","true","18","Single Stat","2026-05-04T19:15:00.000-04:00","2026-05-05T13:08:17.150-04:00","true",,,"team",,"true","Pistons","Detroit","https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp","2","false","59107","11861986","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Single Stat","1"
"Donovan Mitchell","NBA","Fantasy Score","Fantasy Score","39.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","CLE","G","DET","false",,"false","false","true","false","true","29","Fantasy Score","2026-05-04T08:15:00.000-04:00","2026-05-05T08:32:10.700-04:00","true",,,"team",,"true","Cavaliers","Cleveland","https://static.prizepicks.com/images/players/NBA/Donovan_Mitchell_NBA_player_0rXe2XnXarwUqJPvhfPBDUy2.webp","45","false","188006","11872848","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Fantasy Score","6"
"James Harden","NBA","Fantasy Score","Fantasy Score","38","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","CLE","G","DET","false",,"false","false","true","false","true","31","Fantasy Score","2026-05-04T08:15:00.000-04:00","2026-05-05T11:59:25.596-04:00","true",,,"team",,"true","Cavaliers","Cleveland","https://static.prizepicks.com/images/manual/James Harden CLE.png","1","false","299373","11872851","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Fantasy Score","6"
"Cade Cunningham","NBA","Pts+Asts","Pts+Asts","37.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","DET","G","CLE",,,"false","false","true","false","true","34","Single Stat","2026-05-04T19:15:00.000-04:00","2026-05-05T13:06:07.458-04:00","true",,,"team",,"true","Pistons","Detroit","https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp","2","false","59107","11862257","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Single Stat","10"
"Evan Mobley","NBA","Fantasy Score","Fantasy Score","36.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","CLE","C","DET","false",,"false","false","true","false","true","35","Fantasy Score","2026-05-04T08:15:00.000-04:00","2026-05-05T11:57:52.448-04:00","true",,,"team",,"true","Cavaliers","Cleveland","https://static.prizepicks.com/images/players/NBA/Evan_Mobley_NBA_player_V3d2qMMdbw05huQpocNNRwVe.webp","4","false","53979","11872849","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Fantasy Score","6"
"Tobias Harris + James Harden","NBA","Points (Combo)","Points","36","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","DET/CLE","F","CLE/DET","false",,"false","false","true","false","true","36","Single Stat","2026-05-02T19:10:00.000-04:00","2026-05-04T21:14:29.095-04:00","true",,,"combo",,"true","Pistons/Cavaliers",,"https://static.prizepicks.com/images/players/CMBO_group_1MAcCCpO7rkZfhe6LrsIH6nG.webp","12 + 1","true","316538","11861762","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Single Stat","19"
"Jalen Duren + James Harden","NBA","Points (Combo)","Points","35.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","DET/CLE","C","CLE/DET","false",,"false","false","true","false","true","37","Single Stat","2026-05-02T19:10:00.000-04:00","2026-05-05T08:32:36.580-04:00","true",,,"combo",,"true","Pistons/Cavaliers",,"https://static.prizepicks.com/images/manual/Jalen Duren + James Harden.png","0 + 1","true","316534","11861753","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Single Stat","19"
"Donovan Mitchell","NBA","Pts+Rebs+Asts","PRA","33.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","CLE","G","DET",,,"false","false","true","false","true","54","Single Stat","2026-04-27T19:10:00.000-04:00","2026-05-05T09:38:40.177-04:00","true",,,"team",,"true","Cavaliers","Cleveland","https://static.prizepicks.com/images/players/NBA/Donovan_Mitchell_NBA_player_0rXe2XnXarwUqJPvhfPBDUy2.webp","45","false","188006","11862268","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Single Stat","1"
"Jalen Duren","NBA","Fantasy Score","Fantasy Score","33","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","DET","C","CLE","false",,"false","false","true","false","true","60","Fantasy Score","2026-05-04T08:15:00.000-04:00","2026-05-05T13:10:51.376-04:00","true",,,"team",,"true","Pistons","Detroit","https://static.prizepicks.com/images/players/NBA/Jalen_Duren_NBA_player_BGtA2SxfIEpqaOA2zn9FJZhp.webp","0","false","87848","11872854","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Fantasy Score","6"
"Tobias Harris + Evan Mobley","NBA","Points (Combo)","Points","32.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","DET/CLE","F","CLE/DET","false",,"false","false","true","false","true","61","Single Stat","2026-05-02T19:10:00.000-04:00","2026-05-05T08:19:49.052-04:00","true",,,"combo",,"true","Pistons/Cavaliers",,"https://static.prizepicks.com/images/players/CMBO_group_7ApAYremHmRF0VfwG8Pka0j.webp","12 + 4","true","316536","11861755","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Single Stat","19"
"Cade Cunningham","NBA","Pts+Rebs","Pts+Rebs","32.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","DET","G","CLE",,,"false","false","true","false","true","62","Single Stat","2026-05-04T19:15:00.000-04:00","2026-05-05T14:34:45.831-04:00","true",,,"team",,"true","Pistons","Detroit","https://static.prizepicks.com/images/players/NBA/Cade_Cunningham_NBA_player_mq8YRxGgt7Csv81PJK3QsXJu.webp","2","false","59107","11861983","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Single Stat","18"
"Jalen Duren + Evan Mobley","NBA","Points (Combo)","Points","31.5","standard","pre_game","2026-05-05T19:10:00.000-04:00","DET","CLE","Full","DET/CLE","C","CLE/DET","false",,"false","false","true","false","true","66","Single Stat","2026-05-02T19:10:00.000-04:00","2026-05-04T20:49:43.714-04:00","true",,,"combo",,"true","Pistons/Cavaliers",,"https://static.prizepicks.com/images/players/CMBO_group_w6HvIEywbZHHcSmoxEsFgau4.webp","0 + 4","true","316535","11861754","7","2026-05-05T19:00:00.000-04:00",,"scheduled","false","Pistons","Detroit","C8102E","Cavaliers","Cleveland","FDBB30","Single Stat","19"
