Name,Team,Pos,Projection,Salary,Pts/$1k,FPPM,USG%,Opp,DVP,Spread,Total,O/U,Minutes,PTS,AST,REB,STL,BLK,FT,FGA,FGM,PER,FG%,eFG%
"Victor Wembanyama","SA",,"72.45","16800",4.3,1.9,28.58,"NY","1","",0,0,39,34.19,3.88,15.31,1.28,"4.34","8.12","22.85","11.67",30.63,"52.2","56.5"
"Karl-Anthony Towns","NY",,"47.22","12000",3.9,1.4,21.41,"SA","22","",0,0,34,21.97,4.06,13.55,1.05,"0.74","4.93","14.46","7.65",29.74,"57.1","64.3"
"Jalen Brunson","NY",,"45.42","12200",3.7,1.2,32.02,"SA","9","",0,0,38,28.48,7.6,3.7,1.16,"0.12","5.06","22.26","10.32",24.34,"45.5","54.5"
"Stephon Castle","SA",,"41.88","10000",4.2,1.2,25.22,"NY","3","",0,0,35,20.25,8.52,6.14,1.15,"0.35","4.97","14.67","6.84",20.44,"46.7","53.3"
"De'Aaron Fox","SA",,"39.52","7600",5.2,1.1,23.12,"NY","7","",0,0,36,20.16,7.36,4.6,1.44,"0.33","2.45","16.73","7.92",17.62,"47.1","52.9"
"OG Anunoby","NY",,"34.4","7200",4.8,1,18.38,"SA","12","",0,0,35,18.83,2.27,5.88,1.4,"0.86","3.47","12.78","6.42",26.47,"46.2","61.5"
"Dylan Harper","SA",,"30.79","5000",6.2,1.1,20.31,"NY","3","",0,0,29,15.31,4.4,5.15,1.09,"0.46","1.9","11.82","6.09",21.27,"50.0","58.3"
"Devin Vassell","SA",,"30.64","5800",5.3,0.9,16.27,"NY","4","",0,0,36,15.54,3.17,5.47,1.13,"0.57","1.8","12.89","5.48",15.38,"38.5","53.8"
"Mikal Bridges","NY",,"30.32","5600",5.4,0.9,16.47,"SA","5","",0,0,35,15.81,3.81,4.01,1.18,"0.59","1.12","12.89","6.4",19.15,"46.2","53.8"
"Julian Champagnie","SA",,"28.81","4800",6,0.9,13.37,"NY","7","",0,0,33,13.51,1.9,7.19,1.01,"0.63","1.45","10.25","4.54",16.65,"50.0","60.0"
"Josh Hart","NY",,"27.44","9200",3,1,16.82,"SA","6","",0,0,27,10.54,4.21,6.89,1.05,"0.24","1.11","8.23","4.05",15.94,"50.0","62.5"
"Landry Shamet","NY",,"19.27","1800",10.7,0.7,14.06,"SA","5","",0,0,29,12.08,1.78,2.08,0.84,"0.19","0.93","9.27","4.18",14.16,"44.4","66.7"
"Mitchell Robinson","NY",,"16.75","2200",7.6,1.2,14.96,"SA","22","",0,0,14,4.63,0.59,6.35,0.55,"0.86","0.69","2.7","1.97",20.72,"66.7","66.7"
"Keldon Johnson","SA",,"14.57","1600",9.1,1,22.24,"NY","4","",0,0,15,8.56,0.8,3.26,0.42,"0.1","1.16","6.75","3.25",12.82,"42.9","57.1"
"Miles McBride","NY",,"14.3","1400",10.2,0.8,15.92,"SA","9","",0,0,18,8.11,1.76,1.58,0.63,"0.2","0.62","6.89","2.77",10.77,"42.9","57.1"
"Jose Alvarado","NY",,"9.36","1200",7.8,0.9,21.98,"SA","9","",0,0,10,3.94,1.87,1.27,0.49,"0.09","0.24","3.48","1.47",18.87,"33.3","66.7"
"Luke Kornet","SA",,"9.17","2800",3.3,1,12.02,"NY","1","",0,0,9,2.97,0.74,2.86,0.26,"0.4","0.58","1.87","1.19",19.23,"50.0","50.0"
"Harrison Barnes","SA",,"3.4","1000",3.4,0.7,12.15,"NY","7","",0,0,5,1.83,0.37,0.59,0.12,"0.04","0.29","1.43","0.61",9.24,"100.0","100.0"
"Carter Bryant","SA",,"2.65","1000",2.7,0.9,13.96,"NY","7","",0,0,3,1.13,0.23,0.68,0.07,"0.1","0.11","0.95","0.41",9.08,"0.0","100.0"
