Name,Team,Pos,Projection,Salary,Pts/$1k,FPPM,USG%,Opp,DVP,Spread,Total,O/U,Minutes,PTS,AST,REB,STL,BLK,FT,FGA,FGM,PER,FG%,eFG%
"Luke Kornet","SA",,"14.99","3700",4.1,1,"","POR","28",11.5,116,221,15,4.93,1.34,4.51,0.36,"0.69","1.03","3.01","1.95","","66.7","66.7"
"Victor Wembanyama","SA",,"62.61","11900",5.3,1.9,"","POR","28",11.5,116,221,33,29.74,3.63,13.42,1.08,"3.53","6.84","20.11","10.23","","50.0","55.0"
"Jayson Tatum","BOS",,"51.6","9400",5.5,1.4,"","PHI","23",13,114,215.5,37,25.57,6.25,11.76,1.45,"0.22","4.78","21.09","8.67","","42.9","47.6"
"Donovan Clingan","POR",,"38.62","6900",5.6,1.3,8.91,"SA","22",11.5,105,221,29,13.33,2.36,12.94,0.66,"1.91","1.93","9.91","5.11",16.6,"50.0","60.0"
"Robert Williams III","POR",,"24.09","3900",6.2,1.3,15.73,"SA","22",11.5,105,221,18,7.38,1.13,7.79,0.58,"1.63","0.63","4.73","3.29",8.81,"60.0","60.0"
"Keldon Johnson","SA",,"20.42","4000",5.1,1,"","POR","21",11.5,116,221,20,11.76,1.2,4.75,0.55,"0.12","1.65","8.75","4.51","","55.6","55.6"
"Jaylen Brown","BOS",,"53.2","9300",5.7,1.4,"","PHI","21",13,114,215.5,38,32.89,5.95,8.04,1.21,"0.48","6.87","25.27","11.93","","48.0","52.0"
"Baylor Scheierman","BOS",,"11.21","3600",3.1,0.7,"","PHI","21",13,114,215.5,15,4.72,1.28,2.96,0.47,"0.07","0.31","3.68","1.67","","50.0","50.0"
"Devin Vassell","SA",,"26.48","4900",5.4,0.9,"","POR","21",11.5,116,221,31,14.54,2.67,4.28,0.9,"0.41","1.74","11.8","5.12","","41.7","50.0"
"Cade Cunningham","DET",,"51.91","9600",5.4,1.5,"","ORL","19","",0,0,34,25.22,10.54,5.87,1.5,"0.9","5.01","19.44","9.07","","47.4","52.6"
"Daniss Jenkins","DET",,"16.1","3900",4.1,1,"","ORL","19","",0,0,16,7.67,3.2,1.91,0.7,"0.17","1.52","6.5","2.66","","50.0","50.0"
